species,Lon,Lat
Huperzia_sutchueniana,113.84,26.36
Huperzia_javanica,113.85,27.61
Huperzia_javanica,113.885224,23.640932
Huperzia_javanica,113.953351,23.812642
Huperzia_javanica,113.96,25.41
Huperzia_javanica,114.017797,23.283825
Huperzia_javanica,114.02,25.85
Huperzia_javanica,114.033645,23.794638
Huperzia_javanica,114.07,22.62
Huperzia_javanica,114.08,24.78
Huperzia_sutchueniana,114.1,26.58
Huperzia_javanica,114.17,26.57
Huperzia_javanica,114.19,22.27
Huperzia_javanica,114.25,23.75
Huperzia_javanica,114.28,23.18
Huperzia_javanica,114.36,25.39
Huperzia_javanica,114.51,26.33
Huperzia_sutchueniana,114.514242,26.32496
Huperzia_javanica,114.62,27.39
Huperzia_javanica,114.78,28.41
Huperzia_javanica,114.79,24.91
Huperzia_javanica,114.89,24.45
Huperzia_javanica,115.09,29.26
Huperzia_javanica,115.18,23.64
Huperzia_javanica,115.38,28.71
Huperzia_javanica,115.64,24.96
Huperzia_javanica,115.75,23.93
Huperzia_quasipolytrichoides,115.879605,31.67832
Huperzia_sutchueniana,115.879605,31.67832
Huperzia_javanica,115.97,29.71
Huperzia_javanica,115.973839,29.549439
Huperzia_sutchueniana,115.99,29.61
Huperzia_javanica,116.0194,30.9661
Huperzia_javanica,116.02,25.9
Huperzia_javanica,116.1,24.55
Huperzia_javanica,116.18,23.78
Huperzia_javanica,116.32,26.35
Huperzia_javanica,116.32,26.84
Huperzia_quasipolytrichoides,116.332887,31.392687
Huperzia_crispata,116.352594,26.318972
Huperzia_javanica,116.37,25.85
Huperzia_javanica,116.41,25.43
Huperzia_javanica,116.41,26.4
Huperzia_javanica,116.4808,30.7763
Huperzia_javanica,116.53,30.62
Huperzia_javanica,116.63,23.68
Huperzia_javanica,116.75,25.72
Huperzia_javanica,116.82,26.85
Huperzia_javanica,116.8644,26.742275
Huperzia_javanica,117.01,23.7
Huperzia_javanica,117.01,25.12
Huperzia_javanica,117.15,26.92
Huperzia_javanica,117.296,27.87077
Huperzia_javanica,117.32,24.38
Huperzia_javanica,117.35,24.51
Huperzia_javanica,117.71,28.32
Huperzia_javanica,117.75,24.62
Huperzia_javanica,117.77,26.41
Huperzia_javanica,117.81,26.8
Huperzia_javanica,117.84,30.64
Huperzia_javanica,117.9,24.59
Huperzia_javanica,118.03,27.75
Huperzia_javanica,118.03,27.75
Huperzia_javanica,118.11,26.1
Huperzia_javanica,118.11,27.3
Huperzia_javanica,118.11,31.71
Huperzia_javanica,118.16,26.65
Huperzia_javanica,118.18,25.07
Huperzia_javanica,118.18,30.07
Huperzia_javanica,118.19,29.81
Huperzia_javanica,118.24,25.5
Huperzia_javanica,118.25,28.68
Huperzia_javanica,118.44,29.88
Huperzia_javanica,118.57,30.07
Huperzia_javanica,118.61,28.74
Huperzia_sutchueniana,118.62,28.73
Huperzia_javanica,118.88,28.97
Huperzia_javanica,118.95,30.62
Huperzia_javanica,119.05,29.61
Huperzia_javanica,119.06,27.61
Huperzia_javanica,119.06,27.61
Huperzia_sutchueniana,119.06,27.61
Huperzia_javanica,119.13,28.08
Huperzia_sutchueniana,119.13,28.08
Huperzia_javanica,119.25,28.59
Huperzia_sutchueniana,119.276247,28.59204
Huperzia_javanica,119.56,28.12
Huperzia_javanica,119.64,29.12
Huperzia_javanica,119.64,29.81
Huperzia_javanica,119.68,30.68
Huperzia_javanica,119.71,27.57
Huperzia_javanica,119.72,30.23
Huperzia_javanica,119.82,31.36
Huperzia_javanica,119.92,28.45
Huperzia_javanica,120.41,29.01
Huperzia_somae,120.5994,23.5317
Huperzia_quasipolytrichoides,120.599444,23.531667
Huperzia_somae,120.599444,23.531667
Huperzia_javanica,120.601812,23.691661
Huperzia_javanica,120.604761,23.416944
Huperzia_javanica,120.604991,23.13622
Huperzia_javanica,120.606177,22.453099
Huperzia_javanica,120.606262,23.797444
Huperzia_javanica,120.608171,22.432148
Huperzia_javanica,120.611179,22.505575
Huperzia_javanica,120.62,27.8
Huperzia_javanica,120.622973,23.443575
Huperzia_javanica,120.623007,22.415601
Huperzia_javanica,120.625972,23.517831
Huperzia_somae,120.6301,23.5057
Huperzia_somae,120.630102,23.505711
Huperzia_javanica,120.633069,23.581364
Huperzia_javanica,120.634205,23.168002
Huperzia_javanica,120.636515,23.655664
Huperzia_javanica,120.638385,22.576588
Huperzia_javanica,120.640109,22.382105
Huperzia_somae,120.6403,23.4828
Huperzia_javanica,120.643006,22.561178
Huperzia_javanica,120.64637,23.160055
Huperzia_somae,120.6501,23.5411
Huperzia_javanica,120.653353,23.410978
Huperzia_quasipolytrichoides,120.658056,22.582778
Huperzia_javanica,120.661105,22.480595
Huperzia_javanica,120.661469,23.502452
Huperzia_javanica,120.664188,23.632703
Huperzia_javanica,120.664978,22.463747
Huperzia_javanica,120.665895,22.570747
Huperzia_quasipolytrichoides,120.666667,22.6
Huperzia_javanica,120.668551,23.502349
Huperzia_javanica,120.669032,22.44944
Huperzia_javanica,120.670112,22.448615
Huperzia_javanica,120.674759,22.459402
Huperzia_javanica,120.676478,23.554045
Huperzia_javanica,120.680833,22.978611
Huperzia_javanica,120.682002,22.332379
Huperzia_javanica,120.682618,23.561787
Huperzia_javanica,120.682879,22.580629
Huperzia_javanica,120.686326,23.473363
Huperzia_javanica,120.686412,23.670218
Huperzia_javanica,120.688559,23.51344
Huperzia_javanica,120.692647,22.50856
Huperzia_somae,120.698454,23.552059
Huperzia_javanica,120.698566,22.473755
